createrecordfile	Создание файла записей
createvaluefile	Создание файла значения
createmacfile	Создание файла MAC
createdelegateapp	Создание делегированного приложения
getdelegateappinfo	Информация о делегированном приложении
lsapp	Список приложений
lsfiles	Список файлов
clearrecfile	Очистка файла записей
balance	Чтение значения баланса
value	Операции с блоком или файлом значения
incr	Увеличение значения
creditepurse	Операция пополнения электронного кошелька
commitp	Подтверждение подготовленной операции
setconfig	Изменение конфигурации
setclock	Настройка тактового периода
setmod	Настройка модуляции
modulation	Просмотр и изменение модуляции
setlfdivisor	Настройка делителя частоты LF
sethfthresh	Настройка порогов приёмника HF
setmux	Выбор источника сигнала аналогового мультиплексора
fpgaoff	Выключение FPGA и поля антенны
break	Отправка команды остановки активного режима устройства
connect	Подключение к устройству
ping	Проверка ответа устройства
reset	Сброс устройства или состояния
bootloader	Перезагрузка в загрузчик
standalone	Запуск автономного режима прошивки
dbg	Настройка отладочного вывода
setdebugmode	Настройка режима отладки
selftest	Самопроверка
test	Запуск проверки
timeout	Настройка времени ожидания
msleep	Пауза в миллисекундах
rem	Добавление комментария в журнал
quit	Завершение клиента
exit	Выход из клиента
hints	Включение и выключение подсказок
run	Запуск сценария
exec	Выполнение команды или сценария
init	Инициализация
initp	Инициализация протокольной операции
default	Восстановление стандартных настроек
show	Отображение данных
hide	Скрытие отображения
output	Настройка вывода
print	Печать данных
color	Настройка цвета вывода
emoji	Настройка символов интерфейса
savepaths	Настройка каталогов сохранения
client.debug	Настройка отладки клиента
client.delay	Настройка задержки клиента
client.timeout	Настройка времени ожидания клиента
hf.field.timeout_sec	Настройка времени удержания HF-поля
units	Выбор единиц измерения
timescale	Выбор масштаба времени
grid	Настройка сетки графика
plotsliders	Настройка графика ползунками
setgraphmarkers	Установка маркеров графика
shiftgraphzero	Смещение нулевого уровня графика
norm	Нормализация сигнала
decimate	Прореживание отсчётов
undecimate	Увеличение количества отсчётов
ltrim	Обрезка сигнала слева
rtrim	Обрезка сигнала справа
mtrim	Обрезка выделенного участка сигнала
hpf	Фильтр верхних частот
iir	Фильтрация сигнала рекурсивным фильтром
autocorr	Автокорреляция сигнала
askedgedetect	Обнаружение фронтов ASK-сигнала
fsktonrz	Преобразование FSK-сигнала в NRZ
zerocrossings	Анализ переходов сигнала через ноль
biphaserawdecode	Декодирование двухфазного битового потока
manrawdecode	Декодирование Манчестерского битового потока
getbitstream	Получение битового потока
convertbitstream	Преобразование битового потока
crc	Вычисление или проверка CRC
lrc	Вычисление продольной контрольной суммы LRC
chksum	Вычисление контрольной суммы
cksum	Вычисление контрольной суммы
xor	Побитовое исключающее ИЛИ
asn1	Разбор структуры ASN.1
encrypt	Шифрование данных
decrypt	Расшифровка данных
crypto	Криптографические операции
diversifykey	Диверсификация ключа
permutekey	Перестановка байтов ключа
calcnewkey	Расчёт нового ключа
calc	Вычисление параметров
lookup	Поиск значения в справочнике
unhash	Поиск исходного значения хеша
lfsr	Операции с линейным регистром сдвига
chaining	Настройка цепочки протокольных сообщений
challenge	Запрос аутентификационного вызова
intauth	Внутренняя аутентификация
liteauth	Аутентификация FeliCa Lite
litedump	Чтение памяти FeliCa Lite
litesim	Эмуляция FeliCa Lite
cload	Загрузка дампа в совместимую специальную карту
csave	Сохранение памяти совместимой специальной карты
cview	Просмотр памяти совместимой специальной карты
cgetblk	Чтение блока совместимой специальной карты
cgetsc	Чтение сектора совместимой специальной карты
csetblk	Запись блока совместимой специальной карты
csetuid	Изменение UID совместимой специальной карты
cwipe	Очистка совместимой специальной карты
cformat	Форматирование совместимой специальной карты
cread	Чтение совместимой специальной карты
cwrite	Запись совместимой специальной карты
ginfo	Информация о специальной программируемой метке
gload	Загрузка дампа в специальную программируемую метку
gsave	Сохранение специальной программируемой метки
gview	Просмотр специальной программируемой метки
ggetblk	Чтение блока специальной программируемой метки
gsetblk	Запись блока специальной программируемой метки
gchpwd	Изменение пароля специальной программируемой метки
gdmcfg	Чтение конфигурации GDM-метки
gdmparsecfg	Разбор конфигурации GDM-метки
gdmsetblk	Запись блока GDM-метки
gdmsetcfg	Запись конфигурации GDM-метки
gen3blk	Изменение блока карты Gen3
gen3freeze	Фиксация настроек карты Gen3
gen3uid	Изменение UID карты Gen3
cuids	Повторное чтение UID специальных карт
cnonces	Сбор случайных вызовов карты
crack2	Восстановление ключей по собранным данным
legbrute	Перебор параметров LEGIC
legrec	Восстановление данных LEGIC
loclass	Исследование ключей iCLASS
mad	Разбор каталога приложений MIFARE MAD
nack	Проверка поведения при отрицательном ответе
nuid	Расчёт сокращённого идентификатора NUID
otptear	Исследование прерывания записи OTP
countertear	Исследование прерывания обновления счётчика
tear	Исследование прерывания записи
tearoff	Настройка прерывания питания при операции
blacktears	Исследование прерывания записи метки
protect	Настройка защиты
unlock	Разблокировка поддерживаемой метки
personalize	Персонализация метки
provision	Подготовка и персонализация
tamper	Проверка состояния датчика вскрытия
slixeasdisable	Отключение EAS для SLIX
slixeasenable	Включение EAS для SLIX
slixprivacydisable	Отключение приватного режима SLIX
slixprivacyenable	Включение приватного режима SLIX
slixprotectpage	Настройка защиты страниц SLIX
slixwritepwd	Запись пароля SLIX
passprotectafi	Настройка парольной защиты AFI
passprotecteas	Настройка парольной защиты EAS
writeafi	Запись AFI
writedsfid	Запись DSFID
findafi	Поиск AFI
wrpwd	Запись пароля
wrp	Запись с защитой
rqresponse	Запрос режима ответа FeliCa
rqservice	Запрос сервиса FeliCa
rqspecver	Запрос версии спецификации FeliCa
rqsyscode	Запрос системного кода FeliCa
scsvcode	Поиск сервисных кодов FeliCa
aread	Чтение с аутентификацией
awrite	Запись с аутентификацией
pread	Чтение параметров
prec	Запись параметров
reg	Операции с регистрами
scan	Сканирование объектов или меток
watch	Наблюдение за обменом или состоянием
wakeup	Активация метки
interrogate	Опрос метки
freq	Настройка или измерение частоты
cthreshold	Настройка порога сигнала
dirthreshold	Настройка порога направления
chconf	Изменение конфигурации
deviceconfig	Настройка устройства
configcard	Работа с конфигурационной картой
resetmode	Сброс режима
resetread	Сброс с последующим чтением
setpin	Установка PIN
btpin	Настройка PIN Bluetooth-модуля
btfactory	Сброс Bluetooth-модуля к заводским настройкам
baudrate	Настройка скорости последовательного порта
tx	Передача данных
rx	Приём данных
txhex	Передача HEX-данных
rxhex	Приём HEX-данных
txrx	Передача и приём данных
send	Отправка данных
receive	Получение данных
relay	Ретрансляция обмена; требуются совместимые устройства
replay	Повтор записанной последовательности обмена
spoof	Подстановка идентификационных параметров
tagsim	Эмуляция метки
simaid	Эмуляция приложения с заданным AID
trace	Работа с трассой обмена
upload	Загрузка данных в устройство
upgrade	Обновление поддерживаемого компонента
mount	Подключение файловой системы
unmount	Отключение файловой системы
freemem	Информация о свободной памяти
getfs	Чтение параметров файловой системы
changefs	Изменение файловой системы
copy	Копирование данных
rename	Переименование объекта
remove	Удаление объекта
delete	Удаление объекта
create	Создание объекта
modify	Изменение объекта
make	Создание данных
tree	Дерево объектов
formatall	Полное форматирование
lcd	Управление LCD-модулем
lcdreset	Сброс LCD-модуля
gpo	Управление выходом общего назначения
tia	Настройка временных интервалов устройства
decay	Измерение затухания HF-поля
assert	Проверка диагностического условия
test_ss32	Проверка обработки 32-битных отсчётов
test_ss32s	Проверка обработки знаковых 32-битных отсчётов
test_ss8	Проверка обработки 8-битных отсчётов
valid	Проверка корректности данных
antifuzz	Исследование обработки нестандартных запросов
dangerraw	Низкоуровневая передача специальных команд
bruteaid	Перебор идентификаторов приложений
bruteisofid	Перебор ISO-идентификаторов файлов
brutedamslot	Поиск слотов делегированных приложений
managekeys	Управление набором ключей
updkey	Обновление ключа
updakey	Обновление ключа аутентификации
login	Аутентификация пользователя
sam	Работа с модулем защищённого доступа SAM
pcsc	Работа через интерфейс PC/SC
smart2nfc	Обмен между контактным интерфейсом и NFC
adf	Работа с файлом определения приложения
pse	Выбор окружения платёжных приложений
getdata	Получение данных приложения
genac	Запрос прикладной криптограммы
envelope	Передача вложенного сообщения
credential	Работа с идентификационными данными
pacs	Разбор данных системы контроля доступа
seacinfo	Информация о данных контроля доступа SE
cc	Разбор capability container или данных карты
ta	Терминальная аутентификация
roca	Проверка признаков уязвимости ключей ROCA
amiibo	Работа с данными Amiibo
jooki	Работа с метками Jooki
calypso	Работа с приложением Calypso
mobib	Работа с приложением MOBIB
st25taread	Чтение ST25TA
encodehid	Кодирование идентификатора HID
qrcode	Построение QR-кода
dates	Преобразование дат
num	Преобразование числовых значений
regex	Поиск по регулярному выражению
discnodes	Обнаружение узлов
mqtt	Обмен через MQTT
isen	Настройка измерения тока
barmode	Настройка режима отображения уровня
bmap	Работа с битовой картой
p1detect	Определение режима страницы 1
supercard	Работа с диагностической Supercard
special	Специальные операции семейства
foo	Диагностическая команда разработчиков
a	Операция подкоманды A; параметры приведены в справке
